,Time,Power,Omega
0,-0.35400000000000004,-0.00016270640293145378,-1621356.8531913043
1,-0.35000000000000003,-0.00020099026244473547,-2002852.5833539483
2,-0.346,-0.00022970315707969828,-2288974.380975947
3,-0.342,0.00011433302545857536,1139319.848718265
4,-0.338,0.0005302941430113116,5284340.551372284
5,-0.334,0.0006786874184150636,6763068.1841424545
6,-0.32999999999999996,0.0007463110251190323,7436932.249671478
7,-0.326,0.0009468604532248809,9435391.952575741
8,-0.32200000000000006,0.001009698577489687,10061569.05183441
9,-0.318,0.0008683127978938717,8652670.578502387
10,-0.314,0.0008471909318327873,8442192.799673023
11,-0.31,0.0009230324196663552,9197947.421739029
12,-0.306,0.000997663522178258,9941640.646706173
13,-0.302,0.0010482245140673028,10445477.061416838
14,-0.29800000000000004,0.0010339891052819873,10303622.30231572
15,-0.29400000000000004,0.0011760017374335236,11718767.313392095
16,-0.29000000000000004,0.0015015011828759855,14962344.376554383
17,-0.286,0.0014051430216421672,14002142.674208457
18,-0.28200000000000003,0.0012781136893638308,12736305.099687407
19,-0.27799999999999997,0.001029566738439322,10259553.755175002
20,-0.27399999999999997,0.0008793362251581853,8762518.187561635
21,-0.27,0.0007482476416336898,7456230.485029592
22,-0.266,0.0007865315011469728,7837726.21519225
23,-0.26200000000000007,0.0005319670225667502,5301010.668115734
24,-0.258,0.00017014199402055465,1695451.949343856
25,-0.254,2.6534201055963762e-05,264411.2828440266
26,-0.25,-5.851513605942552e-05,-583098.852632987
27,-0.246,-0.0001004951312223703,-1001426.2916769997
28,-0.24200000000000002,1.353083748720312e-05,134833.76003670198
29,-0.23800000000000002,2.948244561773783e-05,293790.3142711438
30,-0.23400000000000004,-0.00012282738260511864,-1223965.467605216
31,-0.23,-0.00011166125691374408,-1112695.879641104
32,-0.226,-0.00015830569598368317,-1577504.1452455672
33,-0.222,-0.00024299191750257312,-2421395.8615929238
34,-0.21800000000000003,-0.00024594016206434674,-2450774.893020036
35,-0.21400000000000002,-0.00037702874558884203,-3757062.5955520766
36,-0.21000000000000002,-0.0005105597596515563,-5087688.931476764
37,-0.206,-0.0004904278617426937,-4887076.109521421
38,-0.20200000000000004,-0.0005008677562410681,-4991108.859226204
39,-0.19800000000000004,-0.0004153126051021242,-4138558.3257147255
40,-0.194,-0.00013399350829649108,-1335235.0555693067
41,-0.19,-0.0003033659513342704,-3023018.4882640145
42,-0.186,-0.0006748829832909525,-6725157.279286435
43,-0.18200000000000002,-0.0005478536510126183,-5459319.704765408
44,-0.17800000000000002,-0.0003225078810909122,-3213766.3533453457
45,-0.17400000000000002,-0.00015313543805313323,-1525982.920650642
46,-0.17,-5.397173068459588e-05,-537824.1657824046
47,-0.166,-0.00015313543805313298,-1525982.9206506393
48,-0.162,-0.00043075839920910425,-4292474.481914702
49,-0.15799999999999997,-0.00029563222433333613,-2945952.4905665666
50,-0.154,-9.692003410487366e-05,-965800.722505517
51,-0.15,1.60165878152011e-05,159604.07181920737
52,-0.14600000000000002,7.665435860612178e-05,763854.817105008
53,-0.14200000000000002,-6.535827354541559e-05,-651290.1939713765
54,-0.138,-0.00021056122732305955,-2098226.5158946463
55,-0.134,-0.00036079174060419685,-3595262.08350802
56,-0.13,-0.0006421108374098293,-6398585.353653432
57,-0.126,-0.0008791068871515755,-8760232.851877145
58,-0.12200000000000001,-0.0008184691163606551,-8155982.106591349
59,-0.118,-0.0011310862367665253,-11271187.786656221
60,-0.11399999999999999,-0.001467509730836031,-14623622.158362871
61,-0.10999999999999999,-0.0011463116137040606,-11422907.50263134
62,-0.10600000000000001,-0.0010881379333462474,-10843211.229933107
63,-0.10200000000000001,-0.0012621748202910202,-12577475.489188258
64,-0.09800000000000002,-0.0014124053335721578,-14074511.056801634
65,-0.09400000000000001,-0.001845407406044926,-18389343.57107906
66,-0.09,-0.0018594007377659074,-18528786.050760396
67,-0.086,-0.0018832071114295436,-18766014.742402177
68,-0.08199999999999999,-0.0021109736519945798,-21035690.88801996
69,-0.078,-0.0031419062132403454,-31308854.96293392
70,-0.07400000000000001,-0.0032203761498289644,-32090801.875687223
71,-0.07000000000000002,-0.0034862494525276177,-34740208.989632666
72,-0.066,-0.0036378330495574745,-36250727.933249705
73,-0.062,-0.002916162928769526,-29059340.40945398
74,-0.057999999999999996,-0.0022372206942324127,-22293733.002156533
75,-0.054000000000000006,-0.0013196006095609432,-13149719.084432228
76,-0.05,-0.0004761274732727121,-4744573.832835539
77,-0.046,0.00019082302574275058,1901536.8477235185
78,-0.041999999999999996,0.0006454744381950462,6432103.378059691
79,-0.038,0.0015669766767330106,15614802.661960004
80,-0.034,0.0023490730719796012,23408333.386276316
81,-0.030000000000000002,0.002021369454842693,20142791.92086548
82,-0.026000000000000002,0.0017709037290778527,17646920.131914187
83,-0.022000000000000006,0.001331132419640926,13264632.68934277
84,-0.018000000000000002,0.0013352005917242537,13305171.712813433
85,-0.014,0.001227369248050061,12230640.625498854
86,-0.01,0.0008354527630047378,8325222.845630757
87,-0.005999999999999998,0.0006758844410724469,6735136.72943685
88,-0.0019999999999999983,0.0009278943714194503,9246396.398870477
89,0.0020000000000000005,0.0005439651451010643,5420571.04094651
90,0.006,0.0003919967725798186,3906217.8390048887
91,0.01,0.0001872186322892539,1865619.342805862
92,0.014,4.3527895942625235e-20,4.3375215185173416e-10
93,0.017999999999999995,-5.6986239327090216e-05,-567863.5137026686
94,0.022,0.00024654150153702,2456767.1948443474
95,0.026000000000000002,0.0010029483966607056,9994304.016469084
96,0.03,0.0016922209418256948,16862852.178588312
