,Time,Power,Omega
0,-0.2984,-0.0002341748488053362,-5420714.0927161155
1,-0.2968,-0.00020724482941287105,-4797334.014186829
2,-0.2952,-0.00020512794369844162,-4748332.0300565185
3,-0.29359999999999997,-0.0002701525729108009,-6253531.780342612
4,-0.29200000000000004,-0.00028484167439759986,-6593557.277722218
5,-0.2904,-0.00024077436993720296,-5573480.785583401
6,-0.2888,-0.00022608526845040424,-5233455.288203801
7,-0.2872,-0.0002648518069456125,-6130828.86448177
8,-0.28559999999999997,-0.0002475123224762194,-5729451.909171745
9,-0.284,-0.00021468270937335173,-4969507.161420179
10,-0.2824,-0.00020214237752163243,-4679221.701889639
11,-0.28080000000000005,-0.0001552901438521131,-3594679.255835951
12,-0.27919999999999995,-0.00012839745621809093,-2972163.338381734
13,-0.2776,-8.743159824967893e-05,-2023879.589112938
14,-0.276,-8.743159824967888e-05,-2023879.589112937
15,-0.2744,-0.0001374902631303402,-3182644.979868986
16,-0.2728,-0.00015926571836272777,-3686706.4435816607
17,-0.2712,-0.0001350234136592752,-3125541.9828535924
18,-0.2696,-6.842472895479759e-05,-1583905.7628425364
19,-0.26799999999999996,-7.944155506989684e-05,-1838924.8858772414
20,-0.2664000000000001,-9.244616842194175e-05,-2139957.6023597624
21,-0.2648,-8.142934230684251e-05,-1884938.479325058
22,-0.26320000000000005,-6.435582526994573e-05,-1489718.17754504
23,-0.2616,-6.612274725834182e-05,-1530619.149498653
24,-0.26,-4.694167742443942e-05,-1086612.903343505
25,-0.25839999999999996,-5.6122365853688655e-05,-1299128.8392057556
26,-0.25680000000000003,-6.53030542829378e-05,-1511644.7750680044
27,-0.2552,-3.941747835931135e-05,-912441.6286877625
28,-0.2536,-2.874372951801925e-06,-66536.41092134084
29,-0.25200000000000006,-2.874372902838264e-06,-66536.40978792278
30,-0.2504,-2.858030047413398e-05,-661581.029493842
31,-0.24880000000000005,-3.225257582747229e-05,-746587.4034137103
32,-0.2472,-3.048565383907619e-05,-705686.431460097
33,-0.24560000000000004,-1.1074508654787747e-06,-25635.43670089756
34,-0.24400000000000002,8.685283459053702e-06,201048.22821883563
35,-0.2424,7.006880678935435e-07,16219.631201239432
36,-0.24080000000000004,-2.8636297970254754e-05,-662877.267829971
37,-0.23920000000000002,-2.8636297970254785e-05,-662877.2678299717
38,-0.2376,-4.653727849680658e-05,-1077251.8170557078
39,-0.236,-8.253755366615189e-05,-1910591.520049812
40,-0.2344,-0.0001387633420349477,-3212114.398957122
41,-0.2328,-0.00019690770199811298,-4558048.657363726
42,-0.23120000000000002,-0.00020857779094755747,-4828189.605267533
43,-0.22960000000000003,-0.00022632712197002164,-5239053.749306056
44,-0.228,-0.00024361605662050298,-5639260.56991905
45,-0.22640000000000002,-0.00025463288272948177,-5894279.692812077
46,-0.22480000000000003,-0.00025463288272948177,-5894279.692812077
47,-0.2232,-0.0002987001871653961,-6914356.184384167
48,-0.2216,-0.0003517965304744486,-8143438.20542705
49,-0.22,-0.00034276749160131104,-7934432.675956273
50,-0.21839999999999998,-0.00037134078217833117,-8595851.439313222
51,-0.2168,-0.0003597119101740691,-8326664.58736271
52,-0.2152,-0.0003478209560027658,-8051411.0185825415
53,-0.2136,-0.0003247428610064938,-7517195.8566318005
54,-0.21200000000000002,-0.00033015950726076557,-7642581.186591795
55,-0.2104,-0.0003417883792619674,-7911768.038471467
56,-0.2088,-0.0003497449759299421,-8095948.516896806
57,-0.20720000000000002,-0.00028569557446353976,-6613323.482952309
58,-0.20559999999999998,-0.0002594188178805925,-6005065.228717417
59,-0.204,-0.0002856955744084557,-6613323.481677214
60,-0.2024,-0.0002856955744635398,-6613323.48295231
61,-0.2008,-0.00027621158709017346,-6393786.738198459
62,-0.19920000000000002,-0.0002506573090206637,-5802252.523626474
63,-0.1976,-0.00030298995695024966,-7013656.410885408
64,-0.196,-0.000325263140259381,-7529239.357856041
65,-0.19440000000000002,-0.0003177443890772367,-7355194.191602701
66,-0.1928,-0.0003036673335683473,-7029336.425193223
67,-0.19119999999999998,-0.00035997555581506087,-8332767.495719001
68,-0.1896,-0.00038471947381846786,-8905543.375427496
69,-0.18800000000000003,-0.0004137438278659933,-9577403.422823919
70,-0.18640000000000004,-0.00042528093309166545,-9844466.043788552
71,-0.1848,-0.0004137438278659935,-9577403.42282392
72,-0.1832,-0.0004371812202840284,-10119935.654722879
73,-0.1816,-0.00043994203588924055,-10183843.423362048
74,-0.18,-0.0004317326899588556,-9993812.2675661
75,-0.1784,-0.0003903157685069388,-9035087.233956916
76,-0.1768,-0.0003574356055366543,-8273972.350385516
77,-0.1752,-0.00036897271076232635,-8541034.971350146
78,-0.1736,-0.0003663954286666405,-8481375.66357964
79,-0.17200000000000001,-0.0003260003997401358,-7546305.549540179
80,-0.1704,-0.00027699939659135567,-6412023.069244344
81,-0.1688,-0.0002990703805006829,-6922925.474552844
82,-0.1672,-0.0003063589336978473,-7091641.983746465
83,-0.1656,-0.000356698346570019,-8256906.170602291
84,-0.164,-0.0003906696176112626,-9043278.185445894
85,-0.1624,-0.0003491834804913899,-8082950.937300691
86,-0.1608,-0.0002865378191437492,-6632819.887586786
87,-0.15920000000000004,-0.00029707169782740414,-6876659.671930651
88,-0.15760000000000002,-0.0002977529594755715,-6892429.61749008
89,-0.15600000000000003,-0.00028185843205613193,-6524500.742040089
90,-0.15439999999999998,-0.00021763483014902832,-5037843.290486766
91,-0.1528,-0.00018205373459937138,-4214206.819429892
92,-0.1512,-0.00021669693434402235,-5016132.739444961
93,-0.14959999999999998,-0.00026076423862998564,-6036209.227545963
94,-0.148,-0.00031421987843169215,-7273608.297029911
